,reple_result
0,아니  톰홀랜드 ㅈㄴ 좋 연애설 슬프  얼 아깝  지랄 톰홀랜드 좋 톰홀랜드 무슨 선택  존중  뭔ㅋㅋㅋㅋㅋ
1,눈 낮 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 말 뽄새 역겹
2,톰홀랜드 덕   같 ㅋㅋ말 꼬라지
3,함소원 진화  으로  진화   필  한녀 한국 밖에 사 람에게 한국 꼴페미 문화   케이스
4,아니  진화같 애  저런 성괴 아줌마  노이 어리 돈 많  진화 개
5,같 한녀  양심없  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  함소원  전형인 한녀 종   ㅋㅋㅋ 쥐뿔    남자   종특
6,젊  돈 많 남자 상녀 녀충한테  처음 이해   ㅠ
7,징그럽 소름ㅋㅋ  빠순이 정신병자 일종
8,일베충  여남갈등 조장  좋 일본으로  스시녀
9,덩치 돼지파오후에   피부 여자몸에   아무 문제없   피부 몸에  혐오   같
10,일본보다 한남  극혐임 하나 생산  백해무익ㅋㅋㅋ
11,남혐 여혐 판에서  니들 페미새끼 일베새끼 둘 똑같
12,일본불매  한남불매  사람 국뽕에  본인 안전
13,사실 통계   반박 발작  한남 모습  댓글창에서     남자 이런 남자
14,헬새여혐남  이 나라 헬조선인걸 녀탓 나라     비판대상에서
15,외모 수준  애   성취감 글쓴이 같 화장  존못녀   개떡같 상황 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
16,한국여자  착각ㅋㅋㅋㅋ  성형 화장   유튜브에 코애 면상  한남보다  ㅋㅋㅋㅋㅋㅋ
17,댓글에 한남   어떤   록  좌표  남
18,이 글에 발작 한남    부들  ㅋㅋㅋㅋ
19,베트남 필리핀 애 싫 빠좀비  싫
20,일베충  느그나라 우익원숭이  세뇌충
21,ㅋㅋ내전남친 이런새끼 결국 ㅋㅋㅋㅋ개쌍욕  조카  정색    에이 그런    예민충 듬ㅋㅋㅋ그후로 연락   ㅋㅋ
22,지랄 병신장애인 개씨발놈  칼로  내장   줄넘기   씨발 다리 접 개씨발련ㅇ
23,분탕홍어  틀새끼 특징가입일자 15년  좆유입새끼 없 ㅋㅋㅋㅋㅋ
24,이새끼 하루종일 틀글 ㅋㅋ 증오심네 ㅋㅋ
25,윤서인 빠새끼 사실 윾튜브  새끼이랑 똑같 둘 기회주의자 보수 이미지
26,틀이 틀  병신 틀니새끼
27,감비아에 백마 ㅂㅈ  ㅈ
28,고딩  각 초딩 저런애 부모 뭐 인간
29,웹툰 희대 창ㅋㅋㅋㅋㅋ  박재언 개
30,개보탱이 보지에       좆밥 시체    많  주제
31,저런 좌빨 겉  정의 오지 속으로  악마새끼마냥 심성  새끼
32,틀니 새끼 진심
33,씹가능 좆밥새끼  저지랄
34,보수 보고 좌   틀새끼  욕 욕 스터콜로 민주  본인 보수에  생각ㅋㅋㅋㅋㅋ
35,일베 틀새끼 대다수 저런 부류  새끼   정게틀 좆버러지새끼   ㅋ
36,저런 틀 개 싸이코새끼  광대뼈 함몰 버릇
37,민국 하루이틀 ㅋㅋㅋㅋ 헬조선 보지   감성팔
38,어그로  정신병자
39,저 키에 연애   애 많   이상학생회 씹인싸 애
40,전라도 염전노예 통수 일상 경상도  시비 학폭 일상
41,이런 결혼 남편 딴남자맘에 결시친에 글련왜  서 정신승리 위로
42,여자로 여자좋 이런경우에 위로 정신승리남자  조카 욕쳐 발악쳐대한민국 여자로 곳
43,상관없 자유 관   같 시대에 길빵 순간 개념 노이 극혐
44,같 기호식품  남자   여자   발상자체 성차별인 편견 담배 사람 별 생각없    암 정도  길빵 극혐이고 담배냄새랑 입냄새
45,여자 남자 내 근처에서    길빵 개극혐
46,냄새 ㅈㄴ  ㅋㅋㅋ 울집 앞에 홈플마트    ㅋㅋㅋㅋㅋ 냄새 어휴시발 일
47,문재앙  동네  씹창 ㅋㅋㅋ
48,반일감정  개씹좌 분탕새끼
49,딴소리 성경  ㅋㅋㅋㅋㅋㅋㅋ 아 씨발 정신병자  귀찮 ㅋㅋㅋ 구글링   인생  니좆 생각   ㅋㅋㅋㅋ
50,문죄인 개새끼한테 한표 좌  총살 투표 영구 박탈
51,좌  종북  짱깨 평등  해킹 호들갑
52,잘에 금수에 능력  게이  저런으로 보지마냥 열폭똑같
53,니    글쓴이  허락  일베 허락  남 사진 막   일베 ㅈㄴ 욕 똑같 소름
54,ㅜㅜㅠㅜ 여자 서 몸평 평 조카 뭔 한남 ㅇㅈㄹ 아   꼴싫 ㅠㅠㅠ   히키같  글 한 번  관심   모습 안쓰럽
55,얼  새끼 똑같 평 ㅈㅋㅋㅋㅋㅋ
56,애 말투     따니  평가   몇십만명  네이트판에     심성  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
57,한남 종특임ㅋㅋ애 양심으로   이쁘 ㅇㅈㄹㅋㅋㅋ
58,한남 불알발광 오지넹ㅋㅋ
59,그맘암 ㅋㅋㅋ 여친 원피스 원피스에 뽕음 ㅋㅋㅋㅋ ㅇ  개털림 ㅋㅋㅋㅋ 정 극혐 맘 ㅇㅈ
60,저새끼 당선 국민 자체 개돼지 인증 경제 씹창난 개돼지 수준
61,자국 이성에게 인간취급  무시 일베에 똥송 타령 똥양인 타령 김치녀 타령 찐따 새끼 찐따인 이유  있
62,저 새끼 한국으로  일본 좌 새끼일베에서 좌 반일선동 총동원령  분탕새끼
63,수요 있 공급 있 뇌 좆에 지배당한 남보새끼  섹스 갈구   섹스  창녀 없  성매매충 충 아웃
64,김치녀 씹압살    여자 한명 없
65,인터넷에서 폰섹 찌질 색기 무시
66,ㅅㅂ 판  로  뭔 한남 타령ㅋㅋㅋ 외국 몇 배   우물  개구리ㅉㅉ
67,남자 ㄹㅇ  학생인  성인새끼 ㅈㄴ 디엠 예쁘  ㅅㅂㅋㅋㅋㅋㅋㅋㅋ 극혐
68,발기  저 틀할매 고소
69,이런 틀 몇번  페미 시선강간이    해  ㅋ
70,아깝  댓 이해     같 새끼  ㅌㅌ
71,불매운동 좋 방송사 일본예능 표절  좋  중국 동남아 표절 욕 ㅈㄴ 로남불
72,남 무시 댓글 현실 ㅈ찐따   성적  일한테  망상으로 정신승리  찌질ㅋㅋㅋ 니  좋대학가 행복
73,바리  지랄 풍년
74,우파 괜찮 우파에 성차별주의자  ㅅㅂㅋㅋㅋㅋㅋ 한녀 ㅇㅈㄹ  여사 없 인증
75,가리  원숭이 ㅈㄴ 동물원에  돌
76,한남혐오 한녀
77,이래도 인스타에 일본   새끼  ㅂㅅ같 생각 없 일본빠 새끼인
78,ㅅㅂ 일본 싸 케이팝 케이팝공연 ㅋㅋㅋㅋㅋ
79,강간 발로     바리새끼
80,ㄱㅊ아 애 일본  멀 육지  없 ㅋㅋㅋㅋㅋㅋㅋㅅㅂ ㅈ같 일본새끼
81,한번   바리 난쟁이 ㅅㅂ새끼
82,일반인 남자 여자 저 얘기 극대노 정상  극우라는 새끼  환영 수준
83,저 바리새끼 싫 상관없 저런시위 도 지나치 저 새끼 저런마인드로 맘 옛날  지진
84,저정도  일본인 창피ㅋㅋㅋㅋㅋㅋ  볍신들
85,찐따같 애    각안 애액 ㅋㅋㅋㅋ
86,나라 사람 일본     어이없 이제  다행ㅜㅠ 제 트스트림 아인  애한테 나리   ㅠㅠ 힘들  돈  일본한테   ㅠㅠ
87,ㅅㅂ 같 새끼 아  ㅅㅂ  좋
88,이정도  나라   이런 병신 무슨 대통령
89,깨문   위안부처럼 창녀 모집
90,대 ㅂㅅ아 조선일보고 뭐고  중요 내용 중요 ㅂㅅ새끼  말
91,원숭이 새끼 ㅡㅡ
92,원숭이새끼 엿 새키ㅗㅗ드러운 일본씹쌔
93,한국 쥐뿔 없  계산   ㅋㅋㅋㅋ 남자  여자보다   ㅋㅋㅋㅋㅋ  태도    ㅋㅋ  김치
94,크  ㅅㅂ 말  소리
95,ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅈㄴ  년놈인  저정도일  ㅅㅂ ㅋㅋ
96,한남 짓 생각 꼬라지 똑같
97,팀 ㅂㅅ같 조석 감독때  코치 없 김원형 코수코 같이ㅋㅋㅋ 꼴출신  노답
98,빠
99,이 새끼 면상 한대  이런 기자 아  나이
100,아 ㅅㅂ ㅇㅈ ㅈㄴ 장애인같
101,도태 한남  매매혼 사람 노예
102,맘카페 말투  발  아
103,개ㅂㅅ  최소한  분위기에  ㅈㄴ  옹호  일본인한테 인증 샷 ㅋㅋ
104,이런글   특징  좆 ㅇㅇ
105,키 인성에 인생
106,하 이 바리 새끼
107,니 얼굴 상상ㅆㅂ  화장실 ㅅㄱ
108,어휴 새끼 정신승리 ㅋㅋ
